"Candidate","p","d","q","P","D","Q","Rationale","Specification","AIC","AICc","BIC","Ljung_Box_lag","Fit_df","Ljung_Box_p_value","White_noise_at_5pct","Nonnegative_candidate_forecast","Fit_status","Eligible","Selected"
"M02",1,0,0,0,1,1,"Restricted diagnostic-guided search: p=1 and q=0 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=0 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(1,0,0)(0,1,1)[12]",102.162575593834,102.269718450977,112.450612480697,24,2,0.104576530831338,TRUE,TRUE,"Converged",TRUE,TRUE
"M04",0,0,1,0,1,1,"Restricted diagnostic-guided search: p=0 and q=1 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=0 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(0,0,1)(0,1,1)[12]",103.084781713915,103.191924571058,113.372818600778,24,2,0.152701604390648,TRUE,TRUE,"Converged",TRUE,FALSE
"M20",1,0,0,2,1,1,"Restricted diagnostic-guided search: p=1 and q=0 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=2 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(1,0,0)(2,1,1)[12]",103.569009717289,103.839279987559,120.715737862061,24,4,0.346155127717519,TRUE,TRUE,"Converged",TRUE,FALSE
"M07",0,0,2,0,1,1,"Restricted diagnostic-guided search: p=0 and q=2 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=0 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(0,0,2)(0,1,1)[12]",103.742169258486,103.921541455795,117.459551774303,24,3,0.0459116738280364,FALSE,TRUE,"Converged",FALSE,FALSE
"M11",1,0,0,1,1,1,"Restricted diagnostic-guided search: p=1 and q=0 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=1 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(1,0,0)(1,1,1)[12]",103.894582920174,104.073955117483,117.611965435992,24,3,0.0843237756585223,TRUE,TRUE,"Converged",TRUE,FALSE
"M03",2,0,0,0,1,1,"Restricted diagnostic-guided search: p=2 and q=0 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=0 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(2,0,0)(0,1,1)[12]",104.032302651047,104.211674848356,117.749685166865,24,3,0.074031905774402,TRUE,TRUE,"Converged",TRUE,FALSE
"M05",1,0,1,0,1,1,"Restricted diagnostic-guided search: p=1 and q=1 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=0 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(1,0,1)(0,1,1)[12]",104.067323101635,104.246695298945,117.784705617453,24,3,0.077310927409177,TRUE,TRUE,"Converged",TRUE,FALSE
"M22",0,0,1,2,1,1,"Restricted diagnostic-guided search: p=0 and q=1 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=2 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(0,0,1)(2,1,1)[12]",104.708101692277,104.978371962548,121.854829837049,24,4,0.40046348472152,TRUE,TRUE,"Converged",TRUE,FALSE
"M13",0,0,1,1,1,1,"Restricted diagnostic-guided search: p=0 and q=1 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=1 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(0,0,1)(1,1,1)[12]",104.827347524416,105.006719721726,118.544730040234,24,3,0.128994873017993,TRUE,TRUE,"Converged",TRUE,FALSE
"M25",0,0,2,2,1,1,"Restricted diagnostic-guided search: p=0 and q=2 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=2 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(0,0,2)(2,1,1)[12]",105.01697920482,105.397069702557,125.593052978546,24,5,0.212872125147993,TRUE,TRUE,"Converged",TRUE,FALSE
